rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
139,frame_0109.jpg,43.6,0.3367,0.3415,0.5,0.08,7,4,False,False
140,frame_0012.jpg,4.8,0.3363,0.1976,0.125,1.0,4,1,False,False
141,frame_0319.jpg,127.6,0.3359,0.3348,0.375,0.28,9,3,False,False
142,frame_0214.jpg,85.6,0.3346,0.3112,0.25,0.52,4,2,False,False
143,frame_0325.jpg,130.0,0.3326,0.4242,0.375,0.04,5,3,False,False
144,frame_0229.jpg,91.6,0.3325,0.3329,0.5,0.08,8,4,False,False
145,frame_0292.jpg,116.8,0.3315,0.2679,0.125,0.8,6,1,False,False
146,frame_0216.jpg,86.4,0.3274,0.3288,0.25,0.44,5,2,False,False
147,frame_0087.jpg,34.8,0.3253,0.3086,0.25,0.48,5,2,False,False
148,frame_0327.jpg,130.8,0.3247,0.4084,0.375,0.04,11,3,False,False
149,frame_0183.jpg,73.2,0.3242,0.4074,0.375,0.04,4,3,False,False
150,frame_0169.jpg,67.6,0.3229,0.2878,0.25,0.52,7,2,False,False
151,frame_0080.jpg,32.0,0.3226,0.2662,0.125,0.76,6,1,False,False
152,frame_0322.jpg,128.8,0.3217,0.3544,0.375,0.16,6,3,False,False
153,frame_0378.jpg,151.2,0.3213,0.4606,0.25,0.08,10,2,False,False
154,frame_0174.jpg,69.6,0.3211,0.4393,0.125,0.32,7,1,False,False
155,frame_0213.jpg,85.2,0.3211,0.2681,0.25,0.56,3,2,False,False
156,frame_0025.jpg,10.0,0.3203,0.1655,0.125,1.0,4,1,False,False
157,frame_0321.jpg,128.4,0.3198,0.3346,0.375,0.2,7,3,False,False
158,frame_0224.jpg,89.6,0.3193,0.4406,0.25,0.12,5,2,False,False
159,frame_0316.jpg,126.4,0.3189,0.3488,0.375,0.16,8,3,False,False
160,frame_0118.jpg,47.2,0.3171,0.3082,0.25,0.44,6,2,False,False
161,frame_0209.jpg,83.6,0.3166,0.2703,0.125,0.72,3,1,False,False
162,frame_0323.jpg,129.2,0.3164,0.3598,0.375,0.12,8,3,False,False
163,frame_0390.jpg,156.0,0.3156,0.3743,0.375,0.08,10,3,False,False
164,frame_0089.jpg,35.6,0.3128,0.3156,0.25,0.4,7,2,False,False
165,frame_0120.jpg,48.0,0.3128,0.2677,0.25,0.52,5,2,False,False
166,frame_0379.jpg,151.6,0.312,0.3831,0.375,0.04,9,3,False,False
167,frame_0111.jpg,44.4,0.3113,0.4085,0.25,0.16,3,2,False,False
168,frame_0095.jpg,38.0,0.3112,0.3333,0.375,0.16,8,3,False,False
169,frame_0101.jpg,40.4,0.309,0.361,0.375,0.08,6,3,False,False
170,frame_0009.jpg,3.6,0.3086,0.2172,0.0,1.0,2,0,False,False
171,frame_0186.jpg,74.4,0.3072,0.3733,0.375,0.04,7,3,False,False
172,frame_0198.jpg,79.2,0.3065,0.3619,0.125,0.44,3,1,False,False
173,frame_0014.jpg,5.6,0.3064,0.2128,0.0,1.0,4,0,False,False
174,frame_0028.jpg,11.2,0.306,0.212,0.0,1.0,5,0,False,False
175,frame_0383.jpg,153.2,0.303,0.333,0.375,0.12,5,3,False,False
176,frame_0196.jpg,78.4,0.302,0.3101,0.25,0.36,3,2,False,False
177,frame_0175.jpg,70.0,0.3008,0.3396,0.25,0.28,7,2,False,False
178,frame_0218.jpg,87.2,0.3005,0.307,0.25,0.36,4,2,False,False
179,frame_0208.jpg,83.2,0.3003,0.2215,0.125,0.76,4,1,False,False
180,frame_0100.jpg,40.0,0.2995,0.3581,0.375,0.04,6,3,False,False
181,frame_0226.jpg,90.4,0.2989,0.4318,0.25,0.04,5,2,False,False
182,frame_0311.jpg,124.4,0.2965,0.4271,0.25,0.04,4,2,False,False
183,frame_0399.jpg,159.6,0.2955,0.329,0.25,0.28,8,2,False,False
184,frame_0308.jpg,123.2,0.2951,0.3761,0.25,0.16,7,2,False,False
185,frame_0092.jpg,36.8,0.2935,0.325,0.25,0.28,3,2,False,False
186,frame_0394.jpg,157.6,0.2933,0.3297,0.375,0.08,5,3,False,False
187,frame_0083.jpg,33.2,0.2926,0.2542,0.125,0.64,6,1,False,False
188,frame_0112.jpg,44.8,0.2916,0.3533,0.25,0.2,4,2,False,False
189,frame_0200.jpg,80.0,0.2914,0.2999,0.125,0.52,2,1,False,False
190,frame_0230.jpg,92.0,0.2913,0.3096,0.375,0.12,11,3,False,False
191,frame_0019.jpg,7.6,0.2894,0.1789,0.0,1.0,3,0,False,False
192,frame_0269.jpg,107.6,0.2873,0.4086,0.25,0.04,8,2,False,False
193,frame_0232.jpg,92.8,0.2865,0.3431,0.25,0.2,6,2,False,False
194,frame_0271.jpg,108.4,0.2853,0.3296,0.375,0.04,7,3,False,False
195,frame_0084.jpg,33.6,0.285,0.255,0.125,0.6,3,1,False,False
196,frame_0217.jpg,86.8,0.2846,0.2591,0.25,0.4,5,2,False,False
197,frame_0185.jpg,74.0,0.2843,0.3117,0.375,0.08,8,3,False,False
198,frame_0114.jpg,45.6,0.2818,0.3017,0.25,0.28,5,2,False,False
199,frame_0212.jpg,84.8,0.2812,0.2474,0.125,0.6,4,1,False,False
200,frame_0220.jpg,88.0,0.2804,0.2988,0.25,0.28,4,2,False,False
201,frame_0093.jpg,37.2,0.279,0.312,0.25,0.24,6,2,False,False
202,frame_0306.jpg,122.4,0.2788,0.3117,0.25,0.24,6,2,False,False
203,frame_0302.jpg,120.8,0.2757,0.3163,0.125,0.4,6,1,False,False
204,frame_0384.jpg,153.6,0.2739,0.3338,0.25,0.16,6,2,False,False
205,frame_0318.jpg,127.2,0.2736,0.3012,0.25,0.24,6,2,False,False
206,frame_0178.jpg,71.2,0.2732,0.3325,0.25,0.16,6,2,False,False
207,frame_0313.jpg,125.2,0.2703,0.4497,0.125,0.04,2,1,False,False
208,frame_0324.jpg,129.6,0.2675,0.353,0.25,0.08,8,2,False,False
209,frame_0197.jpg,78.8,0.2646,0.2941,0.125,0.4,2,1,False,False
210,frame_0094.jpg,37.6,0.2614,0.2929,0.25,0.2,7,2,False,False
211,frame_0193.jpg,77.2,0.2603,0.2747,0.25,0.24,6,2,False,False
212,frame_0231.jpg,92.4,0.2572,0.3004,0.25,0.16,8,2,False,False
213,frame_0305.jpg,122.0,0.2551,0.2483,0.25,0.28,5,2,False,False
214,frame_0191.jpg,76.4,0.254,0.294,0.25,0.16,5,2,False,False
215,frame_0201.jpg,80.4,0.2536,0.2081,0.125,0.56,4,1,False,False
216,frame_0222.jpg,88.8,0.2508,0.2715,0.25,0.2,6,2,False,False
217,frame_0304.jpg,121.6,0.2492,0.2954,0.125,0.32,7,1,False,False
218,frame_0268.jpg,107.2,0.2488,0.3155,0.25,0.08,7,2,False,False
219,frame_0190.jpg,76.0,0.2477,0.3725,0.125,0.12,4,1,False,False
220,frame_0372.jpg,148.8,0.2477,0.2973,0.25,0.12,9,2,False,False
221,frame_0309.jpg,123.6,0.2457,0.2934,0.25,0.12,8,2,False,False
222,frame_0317.jpg,126.8,0.2437,0.3324,0.125,0.2,8,1,False,False
223,frame_0221.jpg,88.4,0.2434,0.2407,0.25,0.24,5,2,False,False
224,frame_0098.jpg,39.2,0.242,0.3181,0.25,0.04,6,2,False,False
225,frame_0188.jpg,75.2,0.2374,0.3837,0.125,0.04,8,1,False,False
226,frame_0108.jpg,43.2,0.2338,0.3015,0.25,0.04,7,2,False,False
227,frame_0181.jpg,72.4,0.2291,0.2921,0.25,0.04,5,2,False,False
228,frame_0385.jpg,154.0,0.2281,0.2261,0.25,0.2,7,2,False,False
229,frame_0105.jpg,42.0,0.2268,0.2716,0.25,0.08,8,2,False,False
230,frame_0314.jpg,125.6,0.2256,0.2691,0.25,0.08,7,2,False,False
231,frame_0371.jpg,148.4,0.2177,0.2534,0.25,0.08,8,2,False,False
232,frame_0370.jpg,148.0,0.2137,0.2613,0.25,0.04,8,2,False,False
233,frame_0219.jpg,87.6,0.2096,0.2162,0.125,0.32,4,1,False,False
234,frame_0113.jpg,45.2,0.2071,0.2431,0.125,0.24,7,1,False,False
235,frame_0267.jpg,106.8,0.2046,0.2862,0.125,0.12,6,1,False,False
236,frame_0307.jpg,122.8,0.2041,0.2532,0.125,0.2,9,1,False,False
237,frame_0189.jpg,75.6,0.2027,0.2985,0.125,0.08,3,1,False,False
238,frame_0192.jpg,76.8,0.2026,0.2501,0.125,0.2,5,1,False,False
239,frame_0272.jpg,108.8,0.1957,0.2844,0.125,0.08,6,1,False,False
240,frame_0102.jpg,40.8,0.1945,0.266,0.125,0.12,4,1,False,False
241,frame_0103.jpg,41.2,0.1903,0.2416,0.125,0.16,5,1,False,False
242,frame_0088.jpg,35.2,0.1889,0.2018,0.0,0.44,6,0,False,False
243,frame_0096.jpg,38.4,0.1889,0.2548,0.125,0.12,7,1,False,False
244,frame_0171.jpg,68.4,0.1872,0.1984,0.0,0.44,5,0,False,False
245,frame_0195.jpg,78.0,0.1847,0.1663,0.125,0.32,6,1,False,False
246,frame_0199.jpg,79.6,0.1794,0.1668,0.0,0.48,3,0,False,False
247,frame_0228.jpg,91.2,0.1705,0.25,0.125,0.04,6,1,False,False
248,frame_0310.jpg,124.0,0.1685,0.23,0.125,0.08,7,1,False,False
249,frame_0273.jpg,109.2,0.1573,0.2665,0.0,0.12,7,0,False,False
250,frame_0194.jpg,77.6,0.1517,0.1914,0.0,0.28,5,0,False,False
251,frame_0110.jpg,44.0,0.1215,0.1949,0.0,0.12,5,0,False,False
252,frame_0382.jpg,152.8,0.1185,0.205,0.0,0.08,5,0,False,False
253,frame_0179.jpg,71.6,0.1174,0.1869,0.0,0.12,7,0,False,False
254,frame_0381.jpg,152.4,0.1117,0.2074,0.0,0.04,4,0,False,False
255,frame_0180.jpg,72.0,0.1092,0.1864,0.0,0.08,7,0,False,False
256,frame_0104.jpg,41.6,0.1058,0.1636,0.0,0.12,3,0,False,False
